upload_date,video_id,title,duration,url,status,episode_note,notes
2026-06-20,q_FIJmSB0Ro,5 Ways to Make Money From an AI the Government Fears,20:40,https://www.youtube.com/watch?v=q_FIJmSB0Ro,ingested,episodes/2026-06-20-5-ways-to-make-money-from-an-ai-the-government-fears.md,"AI-enabled services: legacy migration, bookkeeping cleanup, productized agency, personalized outreach, digital assets"
2026-06-18,5TZylaKGWUE,He Made $6K in 3 Hours Selling Lemonade,28:42,https://www.youtube.com/watch?v=5TZylaKGWUE,ingested,episodes/2026-06-18-he-made-6k-in-3-hours-selling-lemonade.md,"Lemonade concessions, catering, cart rentals, venue partnerships, frozen bananas"
2026-06-14,_1DziIwKyGk,The Most Profitable Side Hustle to Start With No Money,1:15:09,https://www.youtube.com/watch?v=_1DziIwKyGk,ingested,episodes/2026-06-14-the-most-profitable-side-hustle-to-start-with-no-money.md,Created episode note and raw-land-wholesaling topic page.
2026-06-11,LGkcTUfySDU,The Most Profitable Side Hustle No One Is Doing Yet,21:10,https://www.youtube.com/watch?v=LGkcTUfySDU,ingested,episodes/2026-06-11-the-most-profitable-side-hustle-no-one-is-doing-yet.md,Backyard movie theater/event rentals; indoor inflatable theater; LED dance floor upsell
2026-06-09,trdHxY1UMF0,The Laziest AI Side Hustle Anyone Can Start Right Now,14:54,https://www.youtube.com/watch?v=trdHxY1UMF0,ingested,episodes/2026-06-09-the-laziest-ai-side-hustle-anyone-can-start-right-now.md,AI voice cloning services; multilingual realtor voicemails; local business audio
2026-06-07,HcR7Wqgi4lU,He Made $60K His First Month With This Boring Business,56:09,https://www.youtube.com/watch?v=HcR7Wqgi4lU,ingested,episodes/2026-06-07-he-made-60k-his-first-month-with-this-boring-business.md,Concrete floor coatings; local home service business; Meta ads and referrals
2026-06-04,J7ZNaOeXCAA,An Average Guy Built This in One Weekend. Here's How,45:17,https://www.youtube.com/watch?v=J7ZNaOeXCAA,ingested,episodes/2026-06-04-an-average-guy-built-this-in-one-weekend-heres-how.md,PR-led AI consulting; vibe coding; local news and build-in-public distribution
2026-06-04,DKqQe0MqDTs,The Simplest AI Side Hustle for Beginners,33:02,https://www.youtube.com/watch?v=DKqQe0MqDTs,ingested,episodes/2026-06-04-the-simplest-ai-side-hustle-for-beginners.md,Home service AI lead capture; no-code tools; AI voice agents; cold SMS validation
2026-06-01,9DyLtQEDXN0,How a Regular Guy Started a 1-Person Business with AI,36:33,https://www.youtube.com/watch?v=9DyLtQEDXN0,ingested,episodes/2026-06-01-how-a-regular-guy-started-a-1-person-business-with-ai.md,One-person AI agency; warm-network sales; AI implementation workflows
2026-05-30,1PwTrINNzOA,I Told an AI Agent to Make Me Money. It Did.,41:26,https://www.youtube.com/watch?v=1PwTrINNzOA,ingested,episodes/2026-05-30-i-told-an-ai-agent-to-make-me-money-it-did.md,AI-agent-operated microbusinesses and agent-launched monetization experiments
2026-05-28,XQJWYvbAaOg,AI Agents Are Finally Easy to Set Up,9:33,https://www.youtube.com/watch?v=XQJWYvbAaOg,ingested,episodes/2026-05-28-ai-agents-are-finally-easy-to-set-up.md,Always-on AI agents; OpenClaw/hosted agent workflows
2026-05-28,vB08-7RzgOs,The Easiest Online Business to Start in 2026,20:10,https://www.youtube.com/watch?v=vB08-7RzgOs,ingested,episodes/2026-05-28-the-easiest-online-business-to-start-in-2026.md,White-label vertical SaaS; niche GoHighLevel/software bundles
2026-05-24,KjTHJ740fCY,The Best Side Hustle for Beginners (Any Age),57:00,https://www.youtube.com/watch?v=KjTHJ740fCY,ingested,episodes/2026-05-24-the-best-side-hustle-for-beginners-any-age.md,Resale/liquidation; used electronics; supplier relationships
2026-05-22,utOHNPN0IlQ,The Laziest AI Side Hustle Just Got Even Easier,16:21,https://www.youtube.com/watch?v=utOHNPN0IlQ,ingested,episodes/2026-05-22-the-laziest-ai-side-hustle-just-got-even-easier.md,AI faceless YouTube channels; Claude + Higgsfield/MCP video workflow
2026-05-19,50iWtrj9Mkw,Forget Big Apps. These Tiny Tools Are Making Millions,27:39,https://www.youtube.com/watch?v=50iWtrj9Mkw,ingested,episodes/2026-05-19-forget-big-apps-these-tiny-tools-are-making-millions.md,Tiny tools and micro apps; API wrappers and unbundling
2026-05-16,rvOnhGzx__Q,The Credit Card Side Hustle No One Talks About,38:38,https://www.youtube.com/watch?v=rvOnhGzx__Q,ingested,episodes/2026-05-16-the-credit-card-side-hustle-no-one-talks-about.md,Credit-card points consulting; LinkedIn acquisition; points optimization
2026-05-14,xrU6tVo-qME,How Anyone Can Make $10K+/Month From the Government,48:06,https://www.youtube.com/watch?v=xrU6tVo-qME,ingested,episodes/2026-05-14-how-anyone-can-make-10k-month-from-the-government.md,Government contract brokering; SAM.gov workflow; subcontractor fulfillment
2026-05-13,quYKZushRPo,The Beginner-Friendly Claude AI Side Hustle Nobody Talks About,31:20,https://www.youtube.com/watch?v=quYKZushRPo,ingested,episodes/2026-05-13-the-beginner-friendly-claude-ai-side-hustle-nobody-talks-about.md,Claude skills products; portable AI workflow assets; SEO/social skill stacks
2026-05-11,tVbN7XSPnM0,The Only Playbook You Need to Sell Anything Online,1:32:11,https://www.youtube.com/watch?v=tVbN7XSPnM0,ingested,episodes/2026-05-11-the-only-playbook-you-need-to-sell-anything-online.md,Content-to-lead funnels; comment automation; lead magnets; AI voice/app follow-up
2026-05-08,FE7PZG_V7qE,The Simplest Business in a Box Anyone Can Start,1:00:28,https://www.youtube.com/watch?v=FE7PZG_V7qE,ingested,episodes/2026-05-08-the-simplest-business-in-a-box-anyone-can-start.md,Nitro/iced coffee carts; simple concessions; event/location arbitrage
2026-05-06,xUZYy3hCRUM,The Most Passive $104K/M Online Business You've Never Heard Of,48:02,https://www.youtube.com/watch?v=xUZYy3hCRUM,ingested,episodes/2026-05-06-the-most-passive-104k-m-online-business-youve-never-heard-of.md,Rank-and-rent local SEO lead generation; CallRail; flat monthly pricing
2026-05-03,cFr-bNBsPb8,He Spends 1 Hour a Week on This Business,25:12,https://www.youtube.com/watch?v=cFr-bNBsPb8,ingested,episodes/2026-05-03-he-spends-1-hour-a-week-on-this-business.md,Indoor golf simulator memberships; self-serve access; local recurring revenue
2026-04-28,QgkkVpA3rR8,He Makes $4K/Day With This Weird Middleman Business,37:22,https://www.youtube.com/watch?v=QgkkVpA3rR8,ingested,episodes/2026-04-28-he-makes-4k-day-with-this-weird-middleman-business.md,Physical gifting for sales; cakes as outbound attention; vendor logistics
2026-04-24,2iqowbg2CT8,He Makes $20k/Month on the Weekends,36:57,https://www.youtube.com/watch?v=2iqowbg2CT8,ingested,episodes/2026-04-24-he-makes-20k-month-on-the-weekends.md,Farmers market product launch; packaged pizza mix; ecommerce scale
2026-04-21,bAzg8BugEVY,The Most Profitable Solo Business You've Never Heard Of,36:08,https://www.youtube.com/watch?v=bAzg8BugEVY,ingested,episodes/2026-04-21-the-most-profitable-solo-business-youve-never-heard-of.md,Productized service businesses; DesignJoy; AI-first design/development
2026-04-19,GHU8YdA4kxo,The Most Overlooked Side Hustle You Can Start From Home,36:01,https://www.youtube.com/watch?v=GHU8YdA4kxo,ingested,episodes/2026-04-19-the-most-overlooked-side-hustle-you-can-start-from-home.md,Corporate gifting services; wholesale sourcing; LinkedIn/referral growth
2026-04-17,03DjE7j0Suw,The Easiest Way to Actually Make Money With AI,36:41,https://www.youtube.com/watch?v=03DjE7j0Suw,ingested,episodes/2026-04-17-the-easiest-way-to-actually-make-money-with-ai.md,AI audits for SMBs; voice-agent intake; quick-win reports; implementation upsells
2026-04-15,Y4pvrjtb1cI,The Simplest Side Hustle You Can Start Under $100,48:18,https://www.youtube.com/watch?v=Y4pvrjtb1cI,ingested,episodes/2026-04-15-the-simplest-side-hustle-you-can-start-under-100.md,Direct-mail co-op ads; EDDM routes; Facebook group acquisition; local advertiser upsells
2026-04-12,aT2XgPDU6yY,You Only Need a Laptop to Start This Business,44:30,https://www.youtube.com/watch?v=aT2XgPDU6yY,ingested,episodes/2026-04-12-you-only-need-a-laptop-to-start-this-business.md,"Laptop-first ideas: AI agents, local media, curated feeds, skincare, tuition negotiation, AI audits"
2026-04-10,Wl0NMNbYRDk,The Most Passive Online Side Hustle I've Ever Seen,15:57,https://www.youtube.com/watch?v=Wl0NMNbYRDk,ingested,episodes/2026-04-10-the-most-passive-online-side-hustle-ive-ever-seen.md,Simple calculator websites; SEO lead capture; tiny tools
2026-04-08,JHz6mikOPWw,He Can't Code but His AI Agents Make Him $5K/Month,44:19,https://www.youtube.com/watch?v=JHz6mikOPWw,ingested,episodes/2026-04-08-he-cant-code-but-his-ai-agents-make-him-5k-month.md,AI clipping SaaS; vibe coding; agent-operated startup workflows; build-in-public
2026-04-07,HIYiSVvN3RA,I Built an App the Government Doesn't Want You to See,8:36,https://www.youtube.com/watch?v=HIYiSVvN3RA,ingested,episodes/2026-04-07-i-built-an-app-the-government-doesnt-want-you-to-see.md,SAM.gov contract finder app; Replit Agent; government-contract lead magnet
2026-04-06,eD2AMYAR8tA,The Most Profitable Business Everyone Overlooks,1:16:55,https://www.youtube.com/watch?v=eD2AMYAR8tA,ingested,episodes/2026-04-06-the-most-profitable-business-everyone-overlooks.md,Drone deer recovery; thermal drone directory; agricultural spray drones; content-led distribution
2026-04-03,g4-3AxelI_Y,This Might Be the Easiest Way to Sell AI to Businesses,15:27,https://www.youtube.com/watch?v=g4-3AxelI_Y,ingested,episodes/2026-04-03-this-might-be-the-easiest-way-to-sell-ai-to-businesses.md,Missed-call text-back AI; GoHighLevel workflow; ringless voicemail prospecting
2026-04-02,b4_DbNaCeGc,This AI Finds Cheap Products You Can Sell for 5x More,11:28,https://www.youtube.com/watch?v=b4_DbNaCeGc,ingested,episodes/2026-04-02-this-ai-finds-cheap-products-you-can-sell-for-5x-more.md,AI product sourcing; supplier inquiries; porch lockbox example; ecommerce validation
2026-03-31,YqCfQ0APU2U,He Found a Way to Make $1K/Hour From His Phone,54:53,https://www.youtube.com/watch?v=YqCfQ0APU2U,ingested,episodes/2026-03-31-he-found-a-way-to-make-1k-hour-from-his-phone.md,Live-selling liquidation; Whatnot/TikTok Shop; perceived value; streamer operations
2026-03-29,y_ON1Qbb274,He Turned $400 Into $2.5M Using AI (No Coding),50:54,https://www.youtube.com/watch?v=y_ON1Qbb274,ingested,episodes/2026-03-29-he-turned-400-into-2-5m-using-ai-no-coding.md,Fractional AI implementation services; AI readiness assessments; CEO dashboards; STE sales framework
2026-03-26,CVlZdvDthOM,How AI Makes Facebook Marketplace a Gold Mine,19:33,https://www.youtube.com/watch?v=CVlZdvDthOM,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-23,Qv-dw57pFNA,They Banned My $35K/Month Page So I Started a Business,48:25,https://www.youtube.com/watch?v=Qv-dw57pFNA,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-20,l0Vqm0ZIySc,He Asked AI To Make Money. It Did.,30:46,https://www.youtube.com/watch?v=l0Vqm0ZIySc,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-19,L15oL4b3LT4,He Turns Abandoned Driving Ranges Into Cash Machines,33:02,https://www.youtube.com/watch?v=L15oL4b3LT4,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-17,t_y8SelBm_s,The Simplest $7M Business You've Never Heard Of,49:42,https://www.youtube.com/watch?v=t_y8SelBm_s,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-15,lfvyfRGIVHE,How to Make $1.6K/Day on Facebook Marketplace,42:58,https://www.youtube.com/watch?v=lfvyfRGIVHE,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-12,mAyZZc_DjSE,Stop Buying Things. Start Buying Assets that Pay for Themselves,37:24,https://www.youtube.com/watch?v=mAyZZc_DjSE,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-10,CKRglRCeVDM,How I Use Web Scraping to Find Products That Sell for 20x the Price,35:28,https://www.youtube.com/watch?v=CKRglRCeVDM,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-08,N0NceZbY2_4,The Easiest $3K/Day Business Nobody Is Talking About,46:41,https://www.youtube.com/watch?v=N0NceZbY2_4,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-06,iuQ_Y-qSz78,The Most Overlooked $13K/Day Business Anyone Can Start,35:36,https://www.youtube.com/watch?v=iuQ_Y-qSz78,transcript_blocked,,youtube-transcript-api returned IpBlocked and YouTube timedtext/yt-dlp subtitles returned HTTP 429 on 2026-06-21; no episode note created.
2026-03-03,t2m_Dqk4_Dc,The Most Overlooked Way to Get Rich (Proven Blueprint),41:14,https://www.youtube.com/watch?v=t2m_Dqk4_Dc,ingested,episodes/2026-03-03-the-most-overlooked-way-to-get-rich-proven-blueprint.md,"Franchise ownership; public adjusting, pre-sale home improvement, window boxes, turf, cleaning concepts"
2026-02-28,vQ3SxSy8J0g,I Tried OpenClaw for a Month and I'm Never Going Back,46:46,https://www.youtube.com/watch?v=vQ3SxSy8J0g,ingested,episodes/2026-02-28-i-tried-openclaw-for-a-month-and-im-never-going-back.md,OpenClaw personal agents; data cleanup; executive AI training; second-brain workflows
2026-02-26,F034Pz-DjGQ,The Most Underrated Way to Make $50K/Month,33:29,https://www.youtube.com/watch?v=F034Pz-DjGQ,ingested,episodes/2026-02-26-the-most-underrated-way-to-make-50k-month.md,Junk removal; realtor referrals; SEO/YouTube; resale and scrap revenue
2026-02-24,4AWlBGVQ8nA,Make $500k/Year with One Email a Week,53:39,https://www.youtube.com/watch?v=4AWlBGVQ8nA,ingested,episodes/2026-02-24-make-500k-year-with-one-email-a-week.md,"Newsletter businesses; lead magnets, Boosts, paid subscriptions, sponsorships, segmentation"
2026-02-22,uWjU8ctaHIc,"Laid Off 2 Days Before Christmas, Now He Makes $60k/Month Reselling",1:00:22,https://www.youtube.com/watch?v=uWjU8ctaHIc,ingested,episodes/2026-02-22-laid-off-2-days-before-christmas-now-he-makes-60k-month-reselling.md,"Liquidation/resale; Facebook Live, GovDeals, retail storefront, market-specific inventory"
2026-02-20,RaFPcXDFObM,7 Low-Cost Business Ideas for Beginners in 2026,22:10,https://www.youtube.com/watch?v=RaFPcXDFObM,ingested,episodes/2026-02-20-7-low-cost-business-ideas-for-beginners-in-2026.md,"Low-cost food ideas: grill cleaning, dehydrated products, frozen grapes, bakery stands, watermelon concessions"
2026-02-18,KtAGjnWViMQ,Now is the Best Time to Make Money with Content (AI Tutorial),15:33,https://www.youtube.com/watch?v=KtAGjnWViMQ,ingested,episodes/2026-02-18-now-is-the-best-time-to-make-money-with-content-ai-tutorial.md,"AI content research automation with n8n, YouTube RSS, Google Sheets, Gmail"
2026-02-17,tKTlzugGgYw,I Built an AI Agent in 5 Minutes (And Sold It Live),36:54,https://www.youtube.com/watch?v=tKTlzugGgYw,ingested,episodes/2026-02-17-i-built-an-ai-agent-in-5-minutes-and-sold-it-live.md,AI voice agents; ringless voicemail prospecting; local lead scraping; GoHighLevel build
2026-02-14,KuQtxDCmyO4,She Makes $1k/Day Sending Letters,53:16,https://www.youtube.com/watch?v=KuQtxDCmyO4,ingested,episodes/2026-02-14-she-makes-1k-day-sending-letters.md,Snail-mail subscriptions; tangible paper goods; unboxing loops; B2B client touchpoints
2026-02-12,TmbO1tGlz5s,AI is STEALING These Jobs! Here's How to Profit,9:56,https://www.youtube.com/watch?v=TmbO1tGlz5s,ingested,episodes/2026-02-12-ai-is-stealing-these-jobs-heres-how-to-profit.md,"AI disruption opportunities: GLP-1 adjacent services, dashboards, AI automation and receptionists"
2026-02-10,UeeaWuSOnkI,How to Buy Big Things with Little Money,28:33,https://www.youtube.com/watch?v=UeeaWuSOnkI,ingested,episodes/2026-02-10-how-to-buy-big-things-with-little-money.md,"Creative seller financing; carrybacks, master leases, subject-to debt, delayed down payments"
2026-02-09,LPgWaH3YY6U,People Are Selling One Prompt Websites for $1K+ (Full Tutorial),13:38,https://www.youtube.com/watch?v=LPgWaH3YY6U,ingested,episodes/2026-02-09-people-are-selling-one-prompt-websites-for-1k-full-tutorial.md,AI website builders; local website agency; lead-capture sites; fast fulfillment
2026-02-06,-kwF1zol2gQ,The 11 Best Side Hustles for 2026,25:14,https://www.youtube.com/watch?v=-kwF1zol2gQ,transcript_blocked,,youtube-transcript-api returned IpBlocked and yt-dlp subtitle download returned HTTP 429 on 2026-06-21; no episode note created.
2026-02-04,oSI5FE1NeTQ,OpenClaw is BOOMING! Do This to Profit,16:16,https://www.youtube.com/watch?v=oSI5FE1NeTQ,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-02-02,haUsXY0RQFE,The Most Profitable One-Man Business You’ve Never Heard Of,32:37,https://www.youtube.com/watch?v=haUsXY0RQFE,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-31,YoD0hFqX9W8,This Business Makes Vending Machines Look Dumb,1:14:42,https://www.youtube.com/watch?v=YoD0hFqX9W8,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-29,QIX0lnr3qfo,How to Make $120k/Year with An Army of AI Influencers,13:52,https://www.youtube.com/watch?v=QIX0lnr3qfo,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-27,IPnafDDgj6o,How I Make $35k/Month With Other People's Content (Legally),23:42,https://www.youtube.com/watch?v=IPnafDDgj6o,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-22,BAnpwRCDPjQ,"He Watched This Channel and Started a $2,600/Week Side Hustle",42:15,https://www.youtube.com/watch?v=BAnpwRCDPjQ,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-17,Cvs_HhGD18o,"40 Ways to Make $400,000 from Unwanted Land",43:58,https://www.youtube.com/watch?v=Cvs_HhGD18o,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-14,pwybTbHZU-w,How to Get Your First Service Clients Paying Tens of Thousands,33:42,https://www.youtube.com/watch?v=pwybTbHZU-w,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-12,AWesz6TJRcA,"How To Get Paid $2,500 + Monthly Checks for ""Drag & Drop"" AI Employees",28:12,https://www.youtube.com/watch?v=AWesz6TJRcA,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-08,PX8Jn9vFJ38,Companies Are Panic Paying for This Skill. Here’s How to Get In,55:26,https://www.youtube.com/watch?v=PX8Jn9vFJ38,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-04,r2-1c_T6F34,How to Build & Sell Micro Apps in 2026 (Using Only AI),14:34,https://www.youtube.com/watch?v=r2-1c_T6F34,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
2026-01-01,FFYu4JQ7dqw,"I Tested This ""Genius"" Side Hustle (Is It A Goldmine?)",18:24,https://www.youtube.com/watch?v=FFYu4JQ7dqw,transcript_blocked,,youtube-transcript-api returned IpBlocked on 2026-06-21; no episode note created.
